,
VIOLENCIA FAMILIAR,domestic violence
AMENAZAS,threats
TENTATIVA DE EXTORSION,threats
DISCRIMINACION,threats
NEGACION DEL SERVICIO PUBLICO,threats
EXTORSION,threats
TENTATIVA DE ROBO,threats
DISPAROS DE ARMA DE FUEGO,threats
TENTATIVA DE ROBO DE VEHICULO,threats
INTIMIDACION,threats
PORTACION DE ARMA DE FUEGO,threats
"PORTACIÓN, FABRICACIÓN E IMPORTACIÓN DE OBJETOS APTOS PARA AGREDIR",threats
DIFAMACION,threats
ATAQUES A LA PAZ PUBLICA,threats
LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS,threats
"INTIMIDACION (EVITAR DENUNCIA, APORTE INFORMACIÓN O PRUEBAS)",threats
INJURIAS,threats
EXHORTOS,threats
FRAUDE,fraud
USURPACIÓN DE IDENTIDAD,fraud
ABUSO DE CONFIANZA,fraud
"PRODUCCIÓN, IMPRESIÓN, ENAJENACIÓN, DISTRIBUCIÓN, ALTERACIÓN O FALSIFICACIÓN DE TÍTULOS AL PORTADOR, DOCUMENTOS DE CRÉDITO PÚBLICOS O VALES DE CANJE",fraud
COBRANZA ILEGITIMA,fraud
CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA,fraud
FALSIFICACION O ALTERACION Y USO INDEBIDO DE DOCUMENTOS,fraud
FALSEDAD ANTE AUTORIDADES,fraud
COHECHO,fraud
EJERCICIO ILEGAL Y ABANDONO DEL SERVICIO PUBLICO,fraud
RESPONSABILIDAD PROFESIONAL Y TECNICA,fraud
"DELITOS DE ABOGADOS, PATRONOS, LITIGANTES Y ASESORES JURIDICOS",fraud
USO DE DOCUMENTO FALSO,fraud
ENCUBRIMIENTO,fraud
REVELACION DE SECRETOS,fraud
QUEBRANTAMIENTO DE SELLOS,fraud
USURPACION DE PROFESION,fraud
ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,fraud
DELITOS ELECTORALES,fraud
CONTRA FUNCIONARIOS PUBLICOS,fraud
USO INDEBIDO DE ATRIBUCIONES Y FACULTADES,fraud
VIOLACION DE CORRESPONDENCIA,fraud
TENTATIVA DE FRAUDE,fraud
USURPACION DE FUNCIONES PUBLICAS,fraud
ENCUBRIMIENTO POR FAVORECIMIENTO Y RECEPTACIÓN,fraud
TRAFICO DE INFLUENCIA,fraud
ENCUBRIMIENTO POR FAVORECIMIENTO,fraud
"FALSIFICACIÓN DE SELLOS, MARCAS, LLAVES, CUÑOS, TROQUELES, CONTRASEÑAS Y OTROS",fraud
PECULADO,fraud
CAMBIO DE USO DE SUELO,fraud
VARIACION DE NOMBRE O DOMICILIO,fraud
OPERACIONES CON RECURSOS DE PROCEDENCIA ILICITA,fraud
ENRIQUECIMIENTO ILICITO,fraud
"FABRICACION, COMERCIALIZACION Y USO INDEBIDO DE INSIGNIAS Y UNIFORMES",fraud
SABOTAJE,fraud
ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,robbery with violence
O A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA,robbery with violence
ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,robbery with violence
ROBO A NEGOCIO CON VIOLENCIA,robbery with violence
ROBO A PASAJERO A BORDO DE TRANSPORTE PÚBLICO CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,robbery with violence
ROBO DE DOCUMENTOS,robbery with violence
ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,robbery with violence
ROBO DE MOTOCICLETA CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA,robbery with violence
ROBO A REPARTIDOR CON VIOLENCIA,robbery with violence
ROBO DE VEHICULO DE SERVICIO PÚBLICO CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE CONDUCTOR DE TAXI PUBLICO Y PRIVADO CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE A BORDO DE TAXI PÚBLICO Y PRIVADO CON VIOLENCIA,robbery with violence
ROBO A PASAJERO A BORDO DE METRO CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE SALIENDO DEL CAJERO CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE EN RESTAURANT CON VIOLENCIA,robbery with violence
ROBO A PASAJERO EN RTP CON VIOLENCIA,robbery with violence
ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,robbery with violence
ROBO A REPARTIDOR Y VEHICULO CON VIOLENCIA,robbery with violence
ROBO A TRANSPORTISTA Y VEHICULO PESADO CON VIOLENCIA,robbery with violence
ROBO A PASAJERO EN TROLEBUS CON VIOLENCIA,robbery with violence
ROBO A NEGOCIO Y VEHICULO CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE EN HOTEL CON VIOLENCIA,robbery with violence
ROBO A PASAJERO EN AUTOBÚS FORÁNEO CON VIOLENCIA,robbery with violence
ROBO A NEGOCIO CON VIOLENCIA POR FARDEROS (TIENDAS DE CONVENIENCIA),robbery with violence
